Geneid	wt_R1	wt_R2	mu_R1	mu_R2
FGRRES_00553	962	974	862	853
FGRRES_00554	7351	7463	9766	8826
FGRRES_00555	717	693	326	240
FGRRES_00556	2033	1586	1630	1051
FGRRES_00557	91	100	38	31
FGRRES_00558	1039	960	422	399
FGRRES_00559_M	2297	2154	1655	1352
FGRRES_00560	876	748	788	611
FGRRES_00561	3172	4225	3510	3392
FGRRES_00562	1201	1194	1038	911
FGRRES_00563	501	471	622	600
FGRRES_00564	1187	1334	802	706
FGRRES_11782	937	830	166	178
FGRRES_11783	0	0	0	0
FGRRES_00565	1025	1041	660	516
FGRRES_00566	176	165	51	51
FGRRES_00567	1385	1168	622	505
FGRRES_00568	584	604	515	401
FGRRES_00569	11473	9271	7354	5419
FGRRES_00570	794	783	493	339
FGRRES_11784	0	0	0	0
FGRRES_00571	83	110	65	71
FGRRES_00572	155	181	81	82
FGRRES_11785	29	18	18	19
FGRRES_00573	2902	2626	1551	1273
FGRRES_00574	2043	1822	1113	896
FGRRES_11786	2583	2335	1315	1129
FGRRES_15753	47	49	61	50
FGRRES_00576	3006	3179	2746	2606
FGRRES_00577	888	733	605	466
FGRRES_00578	317	296	110	124
FGRRES_15754	67	60	30	39
FGRRES_15755	66	66	25	47
FGRRES_00581	1408	1281	814	740
FGRRES_00582	54	34	30	36
FGRRES_00583	517	438	320	289
FGRRES_00584	3135	2975	2405	2483
FGRRES_15073	47	37	21	25
FGRRES_00585	222	206	187	149
FGRRES_00586	301	290	136	111
FGRRES_11788	43	28	22	16
FGRRES_15074	47	41	43	68
FGRRES_11789	64	48	76	46
FGRRES_00587	253	247	231	161
FGRRES_00588	1090	1126	1221	1057
FGRRES_00589	509	493	531	498
FGRRES_00590	1006	1061	1432	1271
FGRRES_00591	944	883	1200	1011
FGRRES_00592	4551	5215	3055	2853
FGRRES_00593	66	62	74	67
FGRRES_00594	9	5	6	4
FGRRES_00595	2965	2619	1504	1201
FGRRES_11790	3	2	4	0
FGRRES_00596	116	103	70	71
FGRRES_00597	3210	3066	1819	1644
FGRRES_00598	1197	1067	97	91
FGRRES_00599	374	388	106	91
FGRRES_00600	130	98	39	27
FGRRES_15756	646	596	829	758
FGRRES_00602	26	24	28	20
FGRRES_00603	1031	930	980	775
FGRRES_00604	174	140	132	115
FGRRES_15757	3877	3731	3298	3447
FGRRES_00605	5	6	1	1
FGRRES_00606	5	10	4	3
FGRRES_00607	641	508	440	365
FGRRES_00608	2003	2097	821	721
FGRRES_15758	0	0	3	0
